"1" 2017-06-27 11:39:43 "NOTE" "initialized" "init_env" "completed initialization" ""
"2" 2017-06-27 11:40:03 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "process_dump_list" "new context" "/media/obkms/RDF//10.3897_BDJ.4.e8030.xml.ttl"
"3" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"4" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"5" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"6" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "disambig_author" "Rule 2 fail (email)" "no matches"
"7" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "disambig_author" "no match, update the local authors db" "PooraniNA"
"8" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"9" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "disambig_author" "no match, update the local authors db" "BoothNA"
"10" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"11" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "dbpedia_lookup" "not match found for " "Coleoptera"
"12" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"13" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Cucujoidea"
"14" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"15" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Coccinellidae"
"16" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"17" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Systematics"
"18" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"19" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "dbpedia_lookup" "not match found for " "Harmonia manillana"
"20" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"21" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "dbpedia_lookup" "not match found for " "Harmonia dunlopi"
"22" 2017-06-27 11:40:04 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"23" 2017-06-27 11:40:05 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "dbpedia_lookup" "not match found for " "new synonymy"
"24" 2017-06-27 11:40:05 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"25" 2017-06-27 11:40:05 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "dbpedia_lookup" "not match found for " "Coleoptera"
"26" 2017-06-27 11:40:05 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"27" 2017-06-27 11:40:05 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Coccinellidae"
"28" 2017-06-27 11:40:05 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"29" 2017-06-27 11:40:05 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Central_Asia"
"30" 2017-06-27 11:40:05 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
"31" 2017-06-27 11:40:05 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Asia"
"32" 2017-06-27 11:40:05 "NOTE" "/media/obkms/XML2/10.3897_BDJ.4.e8030.xml" "lookup id" "failed lookup, generating new id" ""
