typeStatus,catalogNumber,occurrenceDetails,occurrenceRemarks,recordNumber,recordedBy,individualID,individualCount,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,otherCatalogNumbers,previousIdentifications,associatedMedia,associatedReferences,associatedOccurrences,associatedSequences,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,identificationID,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,eventID,samplingProtocol,samplingEffort,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,fieldNotes,eventRemarks,type,modified,language,rights,rightsHolder,accessRights,bibliographicCitation,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,source
,,,day 1 of the expedition,VS_05_1,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,Animalia,Hexapoda,Insecta,Coleoptera,Geotrupidae,Anoplotrupes,,stercorosus,,species,,,,,,,,http://www.geonames.org/3061344/znojmo.html,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,350 m,,,,,,,,,"S of ?ížov, the valley of Klaper?v potok [=stream]",48°51.989'N 015°52.304'E,,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,05.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 1 of the expedition,VS_05_2,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,Animalia,Hexapoda,Insecta,Coleoptera,Tenebrionidae,,,,,family,,,,,,,,http://www.geonames.org/3061344/znojmo.html,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,350 m,,,,,,,,,"S of ?ížov, the valley of Klaper?v potok [=stream]",48°51.989'N 015°52.304'E,,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,05.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 1 of the expedition,VS_05_3,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,Animalia,Hexapoda,Insecta,Coleoptera,Curculionidae,,,,,family,,,,,,,,http://www.geonames.org/3061344/znojmo.html,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,350 m ,,,,,,,,,"S of ?ížov, the valley of Klaper?v potok [=stream]",48°51.989'N 015°52.304'E,,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,05.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 1 of the expedition,VS_05_4,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,Animalia,Hexapoda,Insecta,Coleoptera,Carabidae,,,,,family,,,,,,,,http://www.geonames.org/3061344/znojmo.html,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,350 m ,,,,,,,,,"S of ?ížov, the valley of Klaper?v potok [=stream]",48°51.989'N 015°52.304'E,,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,05.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 1 of the expedition,VS_05_5,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,Animalia,Hexapoda,Insecta,Coleoptera,Curculionidae,,,,,family,,,,,,,,http://www.geonames.org/3061344/znojmo.html,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,350 m,,,,,,,,,"S of ?ížov, the valley of Klaper?v potok [=stream]",48°51.989'N 015°52.304'E,,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,05.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 1 of the expedition,VS_05_6,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,Animalia,Hexapoda,Insecta,Coleoptera,Dytiscidae,Gaurodytes,,,,genus,,,,,,,,http://www.geonames.org/3061344/znojmo.html,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,350 m,,,,,,,,,"S of ?ížov, the valley of Klaper?v potok [=stream]",48°51.989'N 015°52.304'E,,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,05.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 1 of the expedition,VS_05_7,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,Animalia,Hexapoda,Insecta,Coleoptera,Carabidae,,,,,family,,,,,,,,http://www.geonames.org/3061344/znojmo.html,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,350 m,,,,,,,,,"S of ?ížov, the valley of Klaper?v potok [=stream]",48°51.989'N 015°52.304'E,,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,05.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 1 of the expedition,VS_05_8,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,Animalia,Hexapoda,Insecta,Coleoptera,Carabidae,,,,,family,,,,,,,,http://www.geonames.org/3061344/znojmo.html,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,350 m,,,,,,,,,"S of ?ížov, the valley of Klaper?v potok [=stream]",48°51.989'N 015°52.304'E,,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,05.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 1 of the expedition,VS_05_9,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Curculionidae,,,,,family,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,350 m,,,,,,,,,"S of ?ížov, the valley of Klaper?v potok [=stream]",48°51.989'N 015°52.304'E,,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,05.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 1 of the expedition,VS_05_10,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Curculionidae,,,,,family,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,350 m,,,,,,,,,"S of ?ížov, the valley of Klaper?v potok [=stream]",48°51.989'N 015°52.304'E,,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,05.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
